,ds,yhat,yhat_lower,yhat_upper
0,01/01/2020,2176346.464,2147651.773,2204403.076
1,01/02/2020,2097111.966,2069855.088,2126395.557
2,01/03/2020,2335546.279,2307796.935,2367262.967
3,01/04/2020,2153528.924,2122392.337,2180811.555
4,01/05/2020,2342701.842,2316750.317,2373601.331
5,01/06/2020,2236473.642,2209161.344,2266058.288
6,01/07/2020,2342083.399,2312507.615,2373226.012
7,01/08/2020,2189010.301,2161843.717,2218773.162
8,01/09/2020,2212945.891,2184155.68,2242050.131
9,01/10/2020,2305299.876,2274993.834,2331817.907
10,01/11/2020,2231462.91,2202836.328,2265261.878
11,01/12/2020,2278056.388,2246412.492,2307998.837
12,01/01/2021,2258582.374,2228089.676,2292827.507
13,01/02/2021,2073440.296,2039246.967,2105388.065
14,01/03/2021,2389487.959,2355451.231,2421607.298
15,01/04/2021,2262725.9,2225559.714,2297626.391
16,01/05/2021,2421234.921,2382499.939,2458284.803
17,01/06/2021,2336363.987,2298119.383,2373218.906
18,01/07/2021,2438817.687,2400030.322,2477050.547
19,01/08/2021,2294053.414,2255130.939,2333304.617
20,01/09/2021,2308248.249,2267682.617,2349375.701
21,01/10/2021,2389195.979,2346386.959,2430156.723
22,01/11/2021,2326099.089,2280069.47,2370721.056
23,01/12/2021,2358952.656,2310155.657,2406670.037
