,Date,Total A&E attendences,Predicted A&E attendences,Absolute difference,Percent difference between predicted and actual A&E attendences
0,2020-01-01,2114709.0,2165896.1607361124,-51187.16073611239,-2.420529762540018
1,2020-02-01,1969691.0,2084839.8249378232,-115148.82493782323,-5.846034984057054
2,2020-03-01,1531801.0,2318825.1956808106,-787024.1956808106,-51.37901043809284
3,2020-04-01,916575.0,2138012.2783461143,-1221437.2783461143,-133.2610291952229
4,2020-05-01,1261837.0,2327755.238166842,-1065918.2381668421,-84.4735285276024
5,2020-06-01,1410602.0,2219919.3133752793,-809317.3133752793,-57.37389521461612
6,2020-07-01,1588286.0,2322994.6550272694,-734708.6550272694,-46.25795700694141
7,2020-08-01,1698528.0,2167302.854864255,-468774.85486425506,-27.598888853422203
8,2020-09-01,1670375.0,2188623.7769108186,-518248.77691081865,-31.02589400049801
9,2020-10-01,1574880.0,2277872.198149653,-702992.1981496532,-44.637826256581654
10,2020-11-01,1457200.0,2203329.8213521875,-746129.8213521875,-51.20297977986464
11,2020-12-01,1434754.0,2254332.4256288423,-819578.4256288423,-57.123271698761066
12,2021-01-01,1263561.0,2227161.4284256753,-963600.4284256753,-76.26069722203165
13,2021-02-01,1230121.0,2042166.7048072354,-812045.7048072354,-66.01348199138421
14,2021-03-01,1622302.0,2361036.358620052,-738734.3586200522,-45.53617998498752
15,2021-04-01,1791522.0,2234027.300199953,-442505.3001999529,-24.699964622257102
16,2021-05-01,1987368.0,2392072.2846123353,-404704.28461233526,-20.36383219475886
17,2021-06-01,2080379.0,2305861.5108875763,-225482.51088757627,-10.838530425829921
18,2021-07-01,2087381.0,2406359.120300843,-318978.1203008429,-15.281260119778944
19,2021-08-01,1966786.0,2259797.7260714453,-293011.7260714453,-14.897997345488795
20,2021-09-01,2058985.0,2272372.0182131603,-213387.01821316034,-10.363699503063904
21,2021-10-01,2089866.0,2351545.6703322567,-261679.6703322567,-12.521361194079272
22,2021-11-01,1963433.0,2285822.3484067484,-322389.3484067484,-16.419676577033613
23,2021-12-01,1804728.0,2314369.6058536833,-509641.6058536833,-28.239247457438644
