,Date,ODS code,Organisation name,Type 1,Type 2,Other,Total A&E attendences
0,2015-06-01,RBT,Mid Cheshire Hospitals NHS Foundation Trust,4958.0,0.0,1974.0,6932.0
1,2015-06-01,RM3,Salford Royal NHS Foundation Trust,8039.0,0.0,0.0,8039.0
2,2015-06-01,RWJ,Stockport NHS Foundation Trust,7835.0,0.0,0.0,7835.0
3,2015-06-01,RMP,Tameside Hospital NHS Foundation Trust,7026.0,0.0,0.0,7026.0
4,2015-06-01,RBV,The Christie NHS Foundation Trust,0.0,0.0,0.0,0.0
5,2015-06-01,RM2,University Hospital Of South Manchester NHS Foundation Trust,8264.0,0.0,0.0,8264.0
6,2015-06-01,RRF,"Wrightington, Wigan And Leigh NHS Foundation Trust",7418.0,0.0,0.0,7418.0
7,2015-06-01,RCF,Airedale NHS Foundation Trust,4646.0,0.0,0.0,4646.0
8,2015-06-01,RFF,Barnsley Hospital NHS Foundation Trust,6727.0,0.0,0.0,6727.0
9,2015-06-01,RAE,Bradford Teaching Hospitals NHS Foundation Trust,11055.0,0.0,0.0,11055.0
10,2015-06-01,NNF09,Bransholme Health Centre,0.0,0.0,1216.0,1216.0
11,2015-06-01,RWY,Calderdale And Huddersfield NHS Foundation Trust,12313.0,0.0,0.0,12313.0
12,2015-06-01,NTP08,Care Uk NHS Rotherham Diagnostic Centre,0.0,0.0,3280.0,3280.0
13,2015-06-01,RP5,Doncaster And Bassetlaw Hospitals NHS Foundation Trust,11834.0,0.0,2895.0,14729.0
14,2015-06-01,NNF28,Freedom Centre,0.0,0.0,535.0,535.0
15,2015-06-01,RCD,Harrogate And District NHS Foundation Trust,4054.0,0.0,657.0,4711.0
16,2015-06-01,RWA,Hull And East Yorkshire Hospitals NHS Trust,10030.0,0.0,1233.0,11263.0
17,2015-06-01,RV9,Humber NHS Foundation Trust,0.0,0.0,1102.0,1102.0
18,2015-06-01,Y01231,Lcd-Leeds-Ooh,0.0,0.0,2998.0,2998.0
19,2015-06-01,RR8,Leeds Teaching Hospitals NHS Trust,16715.0,0.0,2147.0,18862.0
20,2015-06-01,Y01069,Local Care Direct Ooh,0.0,0.0,2845.0,2845.0
21,2015-06-01,RXF,Mid Yorkshire Hospitals NHS Trust,19783.0,0.0,0.0,19783.0
22,2015-06-01,RJL,Northern Lincolnshire And Goole NHS Foundation Trust,10885.0,0.0,1849.0,12734.0
23,2015-06-01,RCU,Sheffield Children's NHS Foundation Trust,4806.0,0.0,0.0,4806.0
24,2015-06-01,Y02565,Sheffield City GP Hc (Wic),0.0,0.0,4940.0,4940.0
25,2015-06-01,RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,10130.0,1335.0,1639.0,13104.0
26,2015-06-01,RXG,South West Yorkshire Partnership NHS Foundation Trust,0.0,0.0,0.0,0.0
27,2015-06-01,RFR,The Rotherham NHS Foundation Trust,6412.0,0.0,0.0,6412.0
28,2015-06-01,RT2,Pennine Care NHS Foundation Trust,0.0,0.0,5519.0,5519.0
29,2015-06-01,RW6,Pennine Acute Hospitals NHS Trust,21906.0,0.0,4449.0,26355.0
30,2015-06-01,Y02875,Lindley House Health Centre,0.0,0.0,3268.0,3268.0
31,2015-06-01,RXN,Lancashire Teaching Hospitals NHS Foundation Trust,10783.0,0.0,0.0,10783.0
32,2015-06-01,RY1,Liverpool Community Health NHS Trust,0.0,0.0,4375.0,4375.0
33,2015-06-01,RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,0.0,0.0,0.0,0.0
34,2015-06-01,REP,Liverpool Women's NHS Foundation Trust,0.0,1022.0,0.0,1022.0
35,2015-06-01,RQ6,Royal Liverpool And Broadgreen University Hospitals NHS Trust,7656.0,1924.0,7425.0,17005.0
36,2015-06-01,RVY,Southport And Ormskirk Hospital NHS Trust,6112.0,0.0,3557.0,9669.0
37,2015-06-01,RBN,St Helens And Knowsley Hospitals NHS Trust,8530.0,0.0,1951.0,10481.0
38,2015-06-01,RET,The Walton Centre NHS Foundation Trust,0.0,0.0,0.0,0.0
39,2015-06-01,RWW,Warrington And Halton Hospitals NHS Foundation Trust,7129.0,0.0,1818.0,8947.0
40,2015-06-01,RY7,Wirral Community NHS Trust,0.0,0.0,4428.0,4428.0
41,2015-06-01,RBL,Wirral University Teaching Hospital NHS Foundation Trust,7786.0,0.0,2523.0,10309.0
42,2015-06-01,RLN,City Hospitals Sunderland NHS Foundation Trust,7046.0,2514.0,1989.0,11549.0
43,2015-06-01,RXP,County Durham And Darlington NHS Foundation Trust,10869.0,0.0,12711.0,23580.0
44,2015-06-01,RNN,Cumbria Partnership NHS Foundation Trust,0.0,0.0,1340.0,1340.0
45,2015-06-01,RCB,York Teaching Hospital NHS Foundation Trust,10765.0,0.0,5711.0,16476.0
46,2015-06-01,RR7,Gateshead Health NHS Foundation Trust,7176.0,0.0,2211.0,9387.0
47,2015-06-01,RVW,North Tees And Hartlepool NHS Foundation Trust,5964.0,0.0,1629.0,7593.0
48,2015-06-01,NLO01,Northern Doctors Urgent Care [Nduc],0.0,0.0,5933.0,5933.0
49,2015-06-01,RTF,Northumbria Healthcare NHS Foundation Trust,12562.0,0.0,2001.0,14563.0
50,2015-06-01,RTR,South Tees Hospitals NHS Foundation Trust,10882.0,0.0,5556.0,16438.0
51,2015-06-01,RE9,South Tyneside NHS Foundation Trust,5319.0,0.0,0.0,5319.0
