Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-APRIL-2020,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE ,PARK COMMUNITY PRACTICE,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,2626,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,833,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,507,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,955,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,743,0,0,1,0,0,0,0,0,0
MSitAE-APRIL-2020,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,1075,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,2860,0,0,297,0,0,22,0,902,0,0,81
MSitAE-APRIL-2020,Y02973,NHS ENGLAND LONDON,KINGS PARK SURGERY,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,2495,0,4340,126,0,20,8,0,1218,0,20,955
MSitAE-APRIL-2020,NTP11,NHS ENGLAND SOUTH EAST ,SOUTHAMPTON NHS TREATMENT CENTRE,0,0,1582,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,1171,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,RQX,NHS ENGLAND LONDON,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,4073,0,0,244,0,0,56,1,924,0,0,120
MSitAE-APRIL-2020,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,85,0,0,0,0,0,0,0,0,0
MSitAE-APRIL-2020,RBZ,NHS ENGLAND SOUTH WEST ,NORTHERN DEVON HEALTHCARE NHS TRUST,2346,0,0,145,0,0,20,0,781,0,0,202
