Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-AUGUST-2021,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,817,0,0,0,0,0,3,0,0,0,0,0,0,0,9,515
MSitAE-AUGUST-2021,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2419,0,0,139,0,0,87,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,Y03051,NHS ENGLAND SOUTH EAST ,HASTINGS MED P & WALKIN,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,Y02816,NHS ENGLAND SOUTH EAST ,EASTBOURNE STATION HEALTH CENTRE,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
MSitAE-AUGUST-2021,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
MSitAE-AUGUST-2021,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4295,0,0,228,0,0,279,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1370,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6551,0,11313,0,0,0,3640,0,379,0,0,0,1058,85,2327,0,24,790
MSitAE-AUGUST-2021,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,4635,0,0,0,0,0,551,0,0,0,0,0,0,0,825,0,0,249
MSitAE-AUGUST-2021,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,6993,0,0,633,0,0,192,0,0,2,0,0,0,0,0,0
MSitAE-AUGUST-2021,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
MSitAE-AUGUST-2021,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,4794,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5481,0,0,148,0,0,2173,0,0,38,0,0,228,20,1401,0,0,346
MSitAE-AUGUST-2021,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11730,1386,6791,356,0,307,3297,6,62,112,0,0,150,0,4116,15,0,1289
MSitAE-AUGUST-2021,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,5644,0,1706,193,0,190,1035,0,9,0,0,0,310,0,1460,0,0,208
MSitAE-AUGUST-2021,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5397,0,2550,7,0,44,1432,0,24,1,0,0,514,5,1702,0,0,255
MSitAE-AUGUST-2021,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,8293,559,2927,1456,0,234,0,0,0,0,0,0,989,0,3810,0,66,1246
MSitAE-AUGUST-2021,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,2977,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6614,0,567,0,0,0,2606,0,34,0,0,0,300,0,1759,0,0,792
MSitAE-AUGUST-2021,RAJ,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,28864,0,2507,807,0,61,5839,0,125,65,0,3,1010,0,8713,0,354,1300
MSitAE-AUGUST-2021,RBV,NHS ENGLAND NORTH WEST ,THE CHRISTIE NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525
MSitAE-AUGUST-2021,RQX,NHS ENGLAND LONDON,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,9372,0,0,144,0,0,991,0,0,0,0,0,84,2,1548,0,0,118
MSitAE-AUGUST-2021,M85813,NHS ENGLAND MIDLANDS ,BIRMINGHAM WIC,0,0,0,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6955,0,0,652,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-AUGUST-2021,RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7161,0,1986,0,0,0,2086,0,0,0,0,0,603,14,2211,0,0,112
MSitAE-AUGUST-2021,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,15333,0,15696,206,0,0,7495,0,1682,42,0,0,908,7,4497,0,301,1672
MSitAE-AUGUST-2021,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,6762,0,565,0,0,203,2161,0,15,0,0,1,361,0,2319,0,5,1405
