Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-DECEMBER-2020,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,3608,0,0,501,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,285,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,796,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,421,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,2666,0,0,230,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
MSitAE-DECEMBER-2020,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,805,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2020,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,10415,0,0,0,0,0,1373,0,0,0,0,0,361,0,2732,0,0,848
MSitAE-DECEMBER-2020,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
MSitAE-DECEMBER-2020,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
