Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-FEBRUARY-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
MSitAE-FEBRUARY-2021,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,646,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,680,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,0,0,0,189,0,0,0,0,0,189,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,3089,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,497,0,0,0,0,0,1,0,0,0,0,0,0,0,17,408
MSitAE-FEBRUARY-2021,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,1627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,5790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
MSitAE-FEBRUARY-2021,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,372,0,0,0,0,0,1,0,0,0,0,0,0,0,4,145
MSitAE-FEBRUARY-2021,Y02961,NHS ENGLAND MIDLANDS ,SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
MSitAE-FEBRUARY-2021,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,2913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,4194,0,4472,0,0,0,1536,0,29,0,0,0,596,38,1818,0,16,858
MSitAE-FEBRUARY-2021,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,5303,0,0,0,0,0,502,0,0,0,0,0,359,1,1025,0,0,363
MSitAE-FEBRUARY-2021,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0,0,3022,0,0,180,0,0,12,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,9569,0,0,0,0,0,1294,0,0,0,0,0,330,0,2366,0,0,790
MSitAE-FEBRUARY-2021,ARN02,NHS ENGLAND NORTH EAST AND YORKSHIRE ,ST.GEORGE'S CENTRE,0,0,1558,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,2265,0,0,217,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,108
MSitAE-FEBRUARY-2021,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,5716,501,1133,849,0,195,0,0,0,0,0,0,367,0,3024,0,19,1309
MSitAE-FEBRUARY-2021,RXH,NHS ENGLAND SOUTH EAST ,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,8604,1165,0,88,0,0,1967,1,0,5,0,0,575,3,2699,23,0,298
MSitAE-FEBRUARY-2021,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,429,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",8642,404,6217,0,0,0,4282,1,143,0,0,0,62,33,3286,0,0,641
MSitAE-FEBRUARY-2021,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,3854,0,0,0,0,0,972,0,0,0,0,0,187,1,1215,0,0,246
MSitAE-FEBRUARY-2021,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,2893,0,293,0,0,0,632,0,0,0,0,0,8,0,981,0,0,302
MSitAE-FEBRUARY-2021,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6002,0,0,0,0,0,1131,0,0,0,0,0,207,0,1955,0,0,290
MSitAE-FEBRUARY-2021,RQX,NHS ENGLAND LONDON,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5687,0,0,0,0,0,356,0,0,0,0,0,59,1,1159,0,0,151
MSitAE-FEBRUARY-2021,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,3548,0,0,702,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,4435,0,1946,0,0,0,1067,0,0,0,0,0,418,1,1734,0,0,82
MSitAE-FEBRUARY-2021,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,1661,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,8127,0,9924,182,0,0,921,0,28,15,0,0,152,1,4990,0,0,1091
MSitAE-FEBRUARY-2021,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,1833,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,1537,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,7885,0,1977,321,0,65,2432,0,1,32,0,0,907,12,2947,0,0,921
MSitAE-FEBRUARY-2021,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,181,0,0,370,0,0,2,0,0,1,0,0,0,0,0,0
MSitAE-FEBRUARY-2021,RXW,NHS ENGLAND MIDLANDS ,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,7162,0,475,45,0,24,2620,0,11,9,0,1,1221,98,2503,0,17,1273
MSitAE-FEBRUARY-2021,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,6481,0,949,458,0,0,771,0,0,25,0,0,72,0,2270,0,0,282
