Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2020,Y02961,NHS ENGLAND MIDLANDS ,SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,1718,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,1619,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2020,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5614,0,2126,284,0,0,24,0,2182,0,0,783
MSitAE-JULY-2020,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,1979,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2020,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1305,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,1946,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,4388,0,0,4,0,0,0,0,0,0
MSitAE-JULY-2020,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,679,0,0,0,0,0,0,0,3,441
MSitAE-JULY-2020,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1023,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,12359,0,0,849,0,0,49,0,3860,0,0,1318
MSitAE-JULY-2020,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,1271,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0,0,412,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RBZ,NHS ENGLAND SOUTH WEST ,NORTHERN DEVON HEALTHCARE NHS TRUST,4180,0,0,283,0,0,48,0,1169,0,0,340
MSitAE-JULY-2020,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,5812,0,6800,1310,0,0,328,3,2254,0,0,652
MSitAE-JULY-2020,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,323,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,2890,0,0,6,0,0,0,0,0,0
MSitAE-JULY-2020,R1D,NHS ENGLAND MIDLANDS ,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,1856,0,0,1,0,0,0,0,0,9
MSitAE-JULY-2020,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,144
MSitAE-JULY-2020,M85813,NHS ENGLAND MIDLANDS ,BIRMINGHAM WIC,0,0,140,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,252,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,7142,0,0,176,0,0,13,0,1592,0,0,274
MSitAE-JULY-2020,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,9
MSitAE-JULY-2020,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,207,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,4626,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,341,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,986,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,631,0,0,0,0,0,0,0,0,166
MSitAE-JULY-2020,RXW,NHS ENGLAND MIDLANDS ,SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,9043,0,137,1707,0,1,356,1,2392,0,1,1385
MSitAE-JULY-2020,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,5329,1159,2816,1381,0,10,443,0,3071,712,0,709
