Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2021,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
MSitAE-JULY-2021,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,7341,0,0,633,0,0,284,0,0,6,0,0,0,0,0,0
MSitAE-JULY-2021,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,4795,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NTV0B,NHS ENGLAND SOUTH EAST ,ASHFORD WALK-IN-CENTRE,0,0,3237,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,5841,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NTV0W,NHS ENGLAND SOUTH EAST ,WOKING WALK IN CENTRE,0,0,3086,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
MSitAE-JULY-2021,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC,0,0,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,606,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RA4,NHS ENGLAND SOUTH WEST ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5224,0,0,0,0,0,476,0,0,0,0,0,16,0,1895,0,0,258
MSitAE-JULY-2021,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,8151,0,0,326,0,0,0,0,0,0,0,0,555,0,2594,0,0,487
MSitAE-JULY-2021,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RBZ,NHS ENGLAND SOUTH WEST ,NORTHERN DEVON HEALTHCARE NHS TRUST,5085,0,0,372,0,0,1153,0,0,45,0,0,207,0,1310,0,0,555
MSitAE-JULY-2021,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,8303,0,3537,0,0,0,2770,0,658,0,0,0,522,3,2558,0,0,1260
MSitAE-JULY-2021,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5594,0,0,0,0,0,1499,0,0,0,0,0,0,0,916,0,0,181
MSitAE-JULY-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,1390,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,3523,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,2713,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,1409,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NNF76,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE WILBERFORCE HEALTH CENTRE,0,0,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,802,0,0,692,0,0,6,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2021,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7494,0,0,637,0,0,3,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,1567,0,0,0,0,0,55,0,0,0,0,0,0,0,5,146
MSitAE-JULY-2021,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE HOSPITALS NHS TRUST,19712,0,4719,124,0,25,0,0,0,0,0,0,2553,1,3921,0,138,720
MSitAE-JULY-2021,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
MSitAE-JULY-2021,G82071,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,3750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,DD401,NHS ENGLAND SOUTH WEST ,EXMOUTH MINOR INJURY UNIT,0,0,1299,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,14513,1163,1484,74,0,0,0,0,0,0,0,0,417,0,4364,7,0,2131
MSitAE-JULY-2021,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4629,0,0,253,0,0,194,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15564,0,0,0,0,0,3332,0,0,0,0,0,589,3,3137,0,0,1008
MSitAE-JULY-2021,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,16261,1597,210,567,0,0,0,0,0,0,0,0,905,74,5138,0,0,2913
MSitAE-JULY-2021,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,11317,0,0,610,0,0,1476,0,0,0,0,0,418,1,1542,0,0,372
MSitAE-JULY-2021,RCF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,AIREDALE NHS FOUNDATION TRUST,6546,22,327,0,0,0,1926,0,0,0,0,0,0,0,1634,0,0,556
MSitAE-JULY-2021,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,11734,0,0,0,0,0,4362,0,0,0,0,0,1027,0,2729,0,0,1252
MSitAE-JULY-2021,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10991,0,1260,993,0,0,1240,0,0,60,0,0,245,4,2937,0,0,875
MSitAE-JULY-2021,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,5872,0,1887,209,0,228,976,0,5,0,0,0,243,0,1521,0,0,245
MSitAE-JULY-2021,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,1566,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,815,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2021,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6597,0,11662,0,0,0,3380,0,466,0,0,0,939,103,2285,0,24,983
MSitAE-JULY-2021,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6020,0,0,160,0,0,1810,0,0,23,0,0,244,24,1474,0,0,345
MSitAE-JULY-2021,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
