Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2020,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE ,PARK COMMUNITY PRACTICE,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,4162,0,7393,543,0,19,135,1,1712,0,48,1347
MSitAE-JUNE-2020,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,635,0,0,0,0,0,0,0,5,329
MSitAE-JUNE-2020,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,4119,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,197,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,3662,0,0,4,0,0,0,0,0,0
MSitAE-JUNE-2020,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,273,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,1,5
MSitAE-JUNE-2020,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,179,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,RBZ,NHS ENGLAND SOUTH WEST ,NORTHERN DEVON HEALTHCARE NHS TRUST,3521,0,0,220,0,0,41,0,1057,0,0,329
MSitAE-JUNE-2020,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,558,0,0,0,0,0,0,0,2,156
MSitAE-JUNE-2020,G82071,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,1928,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2020,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,2029,0,0,0,0,0,0,0,0,0
