Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2021,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2021,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,2141,0,0,141,0,0,29,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2021,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2021,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,943,0,0,0,0,0,9,0,0,0,0,0,0,0,4,538
MSitAE-JUNE-2021,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2021,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14632,1062,6883,357,0,0,3955,202,11,24,0,0,311,0,2851,0,0,543
MSitAE-JUNE-2021,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2021,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,106
MSitAE-JUNE-2021,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15252,0,0,0,0,0,2111,0,0,0,0,0,324,0,3073,0,0,978
MSitAE-JUNE-2021,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
