Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-FEBRUARY-2019,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3541,0,0,3,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,AXT02,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),SHAKESPEARE WALK-IN CENTRE,0,0,4009,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,1,7
MSitAE-FEBRUARY-2019,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,3198,0,0,18,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,NNJ,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),DHU HEALTH CARE C.I.C,0,0,1684,0,0,10,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y03051,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASTINGS MED P & WALKIN,0,0,1747,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1555,0,0,9,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,NR3,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4740,0,0,34,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y03645,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,331,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RV9,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),HUMBER TEACHING NHS FOUNDATION TRUST,0,0,499,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y02676,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON STATION HEALTH CENTRE,0,0,1845,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y02615,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,5912,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y02961,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,2759,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RWY,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,11562,0,0,1207,0,0,171,0,2689,0,0,1356
MSitAE-FEBRUARY-2019,Y02533,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,302,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RJR,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5401,0,491,1118,0,2,548,0,1617,0,0,797
MSitAE-FEBRUARY-2019,RRF,NHS ENGLAND NORTH (GREATER MANCHESTER),"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6754,0,727,2349,0,2,183,0,2289,0,0,272
MSitAE-FEBRUARY-2019,NJS05,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,4290,0,0,110,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,AAH,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),TETBURY HOSPITAL TRUST LTD,0,0,164,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,5549,0,0,23,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y02532,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1647,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y02816,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EASTBOURNE STATION HEALTH CENTRE,0,0,1434,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RY8,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5243,0,0,3,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,C82009,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,323,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,Y00751,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",EAST BERKS PRIMARY CARE OOH(WAM),0,0,4662,0,0,13,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,RXH,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,12382,985,0,3532,7,0,923,106,2977,20,0,612
MSitAE-FEBRUARY-2019,Y04538,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",BRACKNELL URGENT CARE CENTRE WIC,0,0,3008,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,NL7,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,5700,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2019,L83087,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),OKEHAMPTON MEDICAL CENTRE,0,0,149,0,0,0,0,0,0,0,0,0
