Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2018,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3896,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2018,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,2,15
MSitAE-JULY-2018,L83087,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),OKEHAMPTON MEDICAL CENTRE,0,0,221,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2018,RVY,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7001,0,3205,1456,0,24,391,4,2233,0,0,63
MSitAE-JULY-2018,Y03007,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),ERDINGTON GP HEALTH & WELLBEING WIC,0,0,2496,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2018,8J094,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),BADGER LTD,0,0,2880,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2018,Y02572,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),PARK COMMUNITY PRACTICE,0,0,741,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2018,RY8,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6703,0,0,2,0,0,0,0,0,0
MSitAE-JULY-2018,NJS05,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,4270,0,0,117,0,0,0,0,0,0
MSitAE-JULY-2018,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,3844,0,0,2,0,0,0,0,0,0
MSitAE-JULY-2018,Y03645,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,418,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2018,Y02696,NHS ENGLAND LONDON,EDMONTON GP WALK IN CENTRE,0,0,987,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2018,NR3,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4748,0,0,2,0,0,0,0,0,0
