Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-NOVEMBER-2018,DD401,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),EXMOUTH MINOR INJURY UNIT,0,0,1101,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,Y03082,NHS ENGLAND LONDON,HAROLD WOOD WIC,0,0,3225,0,0,304,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,Y02973,NHS ENGLAND LONDON,KINGS PARK SURGERY,0,0,769,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,AAH,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),TETBURY HOSPITAL TRUST LTD,0,0,183,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,NJS05,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,4119,0,0,209,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,M85813,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),BIRMINGHAM WIC,0,0,3226,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,Y03007,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),ERDINGTON GP HEALTH & WELLBEING WIC,0,0,2598,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,NDJ,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1415,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,8J094,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),BADGER LTD,0,0,2925,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1418,0,0,3,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,C82009,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,328,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,4399,0,0,2,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,Y00751,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",EAST BERKS PRIMARY CARE OOH(WAM),0,0,4072,0,0,37,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,NLO11,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),MARKET HARBOROUGH URGENT CARE CENTRE,0,0,547,0,0,19,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6188,0,0,19,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,Y03645,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,385,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,NLO10,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),OADBY & WIGSTON URGENT CARE CENTRE,0,0,2110,0,0,65,0,0,0,0,0,0
MSitAE-NOVEMBER-2018,NLO12,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),OAKHAM URGENT CARE CENTRE,0,0,261,0,0,5,0,0,0,0,0,0
