Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-SEPTEMBER-2018,8J094,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),BADGER LTD,0,0,2685,0,0,0,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,Y03007,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),ERDINGTON GP HEALTH & WELLBEING WIC,0,0,2330,0,0,0,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,NR3,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4275,0,0,3,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,NNFA7,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),GOOLE & DISTRICT HOSPITAL,0,0,1186,0,0,4,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,Y02533,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,260,0,0,0,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,RY7,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),WIRRAL COMMUNITY NHS FOUNDATION TRUST,0,0,4283,0,0,17,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,RVY,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,6789,0,3296,894,0,38,146,2,2582,0,0,62
MSitAE-SEPTEMBER-2018,Y02961,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,2471,0,0,0,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,NL7,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,5349,0,0,0,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,C82010,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),OAKHAM MEDICAL PRACTICE,0,0,314,0,0,0,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,Y02696,NHS ENGLAND LONDON,EDMONTON GP WALK IN CENTRE,0,0,1144,0,0,0,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,NNJ,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),DHU HEALTH CARE C.I.C,0,0,1851,0,0,2,0,0,0,0,0,0
MSitAE-SEPTEMBER-2018,RBQ,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,242
