Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2019,DD401,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),EXMOUTH MINOR INJURY UNIT,0,0,1123,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,NR3,NHS ENGLAND MIDLANDS AND EAST (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5303,0,0,3,0,0,0,0,0,0
MSitAE-MARCH-2019,8J094,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),BADGER LTD,0,0,3333,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,C82009,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,306,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,Y02532,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1672,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,RBZ,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),NORTHERN DEVON HEALTHCARE NHS TRUST,3925,0,938,803,0,0,257,0,1104,0,0,543
MSitAE-MARCH-2019,Y03007,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),ERDINGTON GP HEALTH & WELLBEING WIC,0,0,2638,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,Y02533,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,314,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,8,7
MSitAE-MARCH-2019,C82010,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),OAKHAM MEDICAL PRACTICE,0,0,216,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,NDJ,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1485,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,NNFA7,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),GOOLE & DISTRICT HOSPITAL,0,0,1252,0,0,7,0,0,0,0,0,0
MSitAE-MARCH-2019,NNF09,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),BRANSHOLME HEALTH CENTRE,0,0,2329,0,0,15,0,0,0,0,0,0
MSitAE-MARCH-2019,Y02696,NHS ENGLAND LONDON,EDMONTON GP WALK IN CENTRE,0,0,1345,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,NJS05,NHS ENGLAND MIDLANDS AND EAST (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,4620,0,0,32,0,0,0,0,0,0
MSitAE-MARCH-2019,Y02961,NHS ENGLAND MIDLANDS AND EAST (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,2983,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,NNF94,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),EAST RIDING COMMUNITY HOSPITAL,0,0,2376,0,0,13,0,0,0,0,0,0
MSitAE-MARCH-2019,Y03645,NHS ENGLAND NORTH (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,413,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,AJN,NHS ENGLAND NORTH (CUMBRIA AND NORTH EAST),WORKINGTON HEALTH LIMITED,0,0,493,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2019,NNF76,NHS ENGLAND NORTH (YORKSHIRE AND HUMBER),THE WILBERFORCE HEALTH CENTRE,0,0,3152,0,0,0,0,0,0,0,0,0
