Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MARCH-2021,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,Y02615,NHS ENGLAND MIDLANDS ,SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,7095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0,0,1301,0,0,127,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,4603,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0,0,0,0,0,1419,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,10,552
MSitAE-MARCH-2021,RW1,NHS ENGLAND SOUTH EAST ,SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,626,0,0,0,0,0,3,0,0,0,0,0,0,0,2,142
MSitAE-MARCH-2021,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,6371,0,2291,0,0,0,1123,0,0,0,0,0,292,1,2301,0,0,137
MSitAE-MARCH-2021,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,G82071,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
MSitAE-MARCH-2021,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,3302,0,0,266,0,0,5,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5061,0,6672,0,0,0,1591,0,54,0,0,0,403,4,2153,0,22,1090
MSitAE-MARCH-2021,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,12172,1045,2034,365,0,0,2367,185,6,31,0,0,232,0,2814,0,0,511
MSitAE-MARCH-2021,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,Y02428,NHS ENGLAND EAST OF ENGLAND ,PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
MSitAE-MARCH-2021,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,447,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,4927,0,0,172,0,0,1051,0,0,5,0,0,144,0,1226,0,0,310
MSitAE-MARCH-2021,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9579,0,0,501,0,510,546,0,0,5,0,0,70,3,2787,0,829,0
MSitAE-MARCH-2021,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,6576,0,2860,0,0,0,1713,0,39,0,0,0,226,1,2410,0,0,1202
MSitAE-MARCH-2021,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
MSitAE-MARCH-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,707,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,4868,0,2181,0,0,0,228,0,4,0,0,0,49,0,2479,0,0,601
MSitAE-MARCH-2021,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245
MSitAE-MARCH-2021,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,AJN,NHS ENGLAND NORTH EAST AND YORKSHIRE ,WORKINGTON HEALTH LIMITED,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,12506,0,0,0,0,0,1522,0,0,0,0,0,318,0,2746,0,0,1010
MSitAE-MARCH-2021,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,4818,0,1921,28,0,74,654,0,10,1,0,1,246,0,1736,0,0,246
MSitAE-MARCH-2021,Y02961,NHS ENGLAND MIDLANDS ,SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,2470,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MARCH-2021,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
