Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2021,Y02532,NHS ENGLAND NORTH WEST ,MIRIAM MINOR EMERGENCY,0,0,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5906,0,0,646,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,M85813,NHS ENGLAND MIDLANDS ,BIRMINGHAM WIC,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
MSitAE-MAY-2021,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0,0,4807,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,4759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,531,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,8J094,NHS ENGLAND MIDLANDS ,BADGER LTD,0,0,0,0,0,1324,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,RYY,NHS ENGLAND SOUTH EAST ,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,5115,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,643,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,C82010,NHS ENGLAND MIDLANDS ,OAKHAM MEDICAL PRACTICE,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4555,0,0,330,0,0,133,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2021,NQTE4,NHS ENGLAND MIDLANDS ,SUMMERFIELD URGENT CARE CENTRE,0,0,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
