Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-DECEMBER-2019,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3367,0,0,6,0,0,0,0,0,0
MSitAE-DECEMBER-2019,L83087,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),OKEHAMPTON MEDICAL CENTRE,0,0,124,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,C82010,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),OAKHAM MEDICAL PRACTICE,0,0,285,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,NMH01,NHS ENGLAND EAST OF ENGLAND (EAST),NORWICH PRACTICES LTD,0,0,5923,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),HUMBER TEACHING NHS FOUNDATION TRUST,0,0,519,0,0,1,0,0,0,0,0,0
MSitAE-DECEMBER-2019,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,4810,0,0,81,0,0,0,0,0,0
MSitAE-DECEMBER-2019,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,3461,0,0,11,0,0,0,0,0,0
MSitAE-DECEMBER-2019,NR3,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5345,0,0,166,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RY8,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6253,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,9674,0,0,382,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RW1,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,658,0,0,0,0,0,0,0,0,200
MSitAE-DECEMBER-2019,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,5909,0,0,18,0,0,0,0,0,0
MSitAE-DECEMBER-2019,C82009,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,282,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,Y02532,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1670,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,4,14
MSitAE-DECEMBER-2019,Y02816,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EASTBOURNE STATION HEALTH CENTRE,0,0,1803,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RVY,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7704,0,3121,1777,0,49,712,22,2768,0,0,80
MSitAE-DECEMBER-2019,Y02533,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,336,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),PARK COMMUNITY PRACTICE,0,0,985,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,Y03645,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,399,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,Y02973,NHS ENGLAND LONDON,KINGS PARK SURGERY,0,0,844,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,NJS05,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,5250,0,0,214,0,0,0,0,0,0
MSitAE-DECEMBER-2019,Y00751,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",EAST BERKS PRIMARY CARE OOH(WAM),0,0,5507,0,0,7,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,124
MSitAE-DECEMBER-2019,DT301,NHS ENGLAND EAST OF ENGLAND (EAST),HERTS URGENT CARE (ASCOTS LANE),0,0,1693,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RTP,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",SURREY AND SUSSEX HEALTHCARE NHS TRUST,9053,0,784,1438,0,0,584,0,2748,0,0,584
MSitAE-DECEMBER-2019,Y03082,NHS ENGLAND LONDON,HAROLD WOOD WIC,0,0,3077,0,0,347,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RPC,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0,0,872,0,0,0,0,0,0,0,17,322
MSitAE-DECEMBER-2019,Y03051,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASTINGS MED P & WALKIN,0,0,1830,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,NLX24,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),YATE WEST GATE CENTRE,0,0,1945,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RX1,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,16715,1544,193,0,0,0,2106,35,4724,0,0,2882
MSitAE-DECEMBER-2019,RLT,NHS ENGLAND MIDLANDS (WEST MIDLANDS),GEORGE ELIOT HOSPITAL NHS TRUST,7992,0,0,2042,0,0,744,33,1313,0,0,66
MSitAE-DECEMBER-2019,Y02961,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,4038,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,NQT5H,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),PAULTON MEMORIAL HOSPITAL,0,0,721,0,0,11,0,0,0,0,0,0
MSitAE-DECEMBER-2019,REF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),ROYAL CORNWALL HOSPITALS NHS TRUST,6463,0,9495,1918,0,70,778,23,2454,0,48,1566
MSitAE-DECEMBER-2019,AQN04,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",PHL LYMINGTON UTC,0,0,2405,0,0,19,0,0,0,0,0,0
MSitAE-DECEMBER-2019,Y04538,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",BRACKNELL URGENT CARE CENTRE WIC,0,0,3401,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,C82038,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LATHAM HOUSE MEDICAL PRACTICE,0,0,254,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,NQT5F,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),SKELMERSDALE WALK IN CENTRE,0,0,2019,0,0,96,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RBS,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5578,0,0,775,0,0,0,0,1072,230,0,0
MSitAE-DECEMBER-2019,RLQ,NHS ENGLAND MIDLANDS (WEST MIDLANDS),WYE VALLEY NHS TRUST,5568,0,0,1822,0,0,159,4,1627,0,0,184
MSitAE-DECEMBER-2019,RY4,NHS ENGLAND EAST OF ENGLAND (EAST),HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,722,0,0,0,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),GATESHEAD HEALTH NHS FOUNDATION TRUST,8358,0,2749,1772,0,8,464,1,1893,0,0,338
MSitAE-DECEMBER-2019,RGR,NHS ENGLAND EAST OF ENGLAND (EAST),WEST SUFFOLK NHS FOUNDATION TRUST,6426,0,320,0,0,0,163,2,2133,0,0,705
MSitAE-DECEMBER-2019,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1848,0,0,37,0,0,0,0,0,0
MSitAE-DECEMBER-2019,RXH,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,13407,1101,0,3679,12,0,1130,1,3764,19,0,394
