Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-FEBRUARY-2020,NMH01,NHS ENGLAND EAST OF ENGLAND (EAST),NORWICH PRACTICES LTD,0,0,5137,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3030,0,0,3,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,NR3,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,4814,0,0,15,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,4083,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RTP,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",SURREY AND SUSSEX HEALTHCARE NHS TRUST,8402,0,734,1525,0,0,816,0,2408,0,0,607
MSitAE-FEBRUARY-2020,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,2961,0,0,12,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,C82038,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LATHAM HOUSE MEDICAL PRACTICE,0,0,262,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,4363,0,0,38,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,9,11
MSitAE-FEBRUARY-2020,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),HUMBER TEACHING NHS FOUNDATION TRUST,0,0,449,0,0,1,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,NQT5H,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),PAULTON MEMORIAL HOSPITAL,0,0,671,0,0,5,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,NQT5F,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),SKELMERSDALE WALK IN CENTRE,0,0,1679,0,0,42,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RT3,NHS ENGLAND LONDON,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,296
MSitAE-FEBRUARY-2020,Y02532,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1584,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1585,0,0,13,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,REF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),ROYAL CORNWALL HOSPITALS NHS TRUST,5463,0,9243,1639,0,63,517,16,2133,0,33,1324
MSitAE-FEBRUARY-2020,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,12017,0,0,1736,0,0,297,0,2799,0,0,1313
MSitAE-FEBRUARY-2020,Y02615,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6047,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,Y03082,NHS ENGLAND LONDON,HAROLD WOOD WIC,0,0,2888,0,0,253,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RBQ,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,189
MSitAE-FEBRUARY-2020,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,8424,0,0,365,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,NTP11,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHAMPTON NHS TREATMENT CENTRE,0,0,5040,0,0,5,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,Y02973,NHS ENGLAND LONDON,KINGS PARK SURGERY,0,0,677,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RA4,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4603,0,0,298,0,0,10,0,1658,0,0,373
MSitAE-FEBRUARY-2020,RJR,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5639,0,563,1031,0,2,367,0,1582,0,0,837
MSitAE-FEBRUARY-2020,C82010,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),OAKHAM MEDICAL PRACTICE,0,0,247,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,C82009,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,320,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RY8,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5880,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,Y02533,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,309,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,5926,0,0,25,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,Y03645,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,377,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,DT301,NHS ENGLAND EAST OF ENGLAND (EAST),HERTS URGENT CARE (ASCOTS LANE),0,0,1759,0,0,1,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,RW1,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,618,0,0,0,0,0,0,0,2,177
MSitAE-FEBRUARY-2020,Y03051,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASTINGS MED P & WALKIN,0,0,1400,0,0,5,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,Y02676,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON STATION HEALTH CENTRE,0,0,1934,0,0,0,0,0,0,0,0,0
MSitAE-FEBRUARY-2020,AQN04,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",PHL LYMINGTON UTC,0,0,2185,0,0,3,0,0,0,0,0,0
