Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JUNE-2019,Y02961,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,3129,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,NJS05,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,4511,0,0,14,0,0,0,0,0,0
MSitAE-JUNE-2019,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,3591,0,0,3,0,0,0,0,0,0
MSitAE-JUNE-2019,DD401,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),EXMOUTH MINOR INJURY UNIT,0,0,1280,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,8J094,NHS ENGLAND MIDLANDS (WEST MIDLANDS),BADGER LTD,0,0,2870,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,M85813,NHS ENGLAND MIDLANDS (WEST MIDLANDS),BIRMINGHAM WIC,0,0,3080,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y03007,NHS ENGLAND MIDLANDS (WEST MIDLANDS),ERDINGTON GP HEALTH & WELLBEING WIC,0,0,2870,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3472,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y02696,NHS ENGLAND LONDON,EDMONTON GP WALK IN CENTRE,0,0,1351,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y02615,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,5818,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,RT3,NHS ENGLAND LONDON,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,297
MSitAE-JUNE-2019,NLO01,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),NORTHERN DOCTORS URGENT CARE,0,0,4006,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y00751,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",EAST BERKS PRIMARY CARE OOH(WAM),0,0,4294,0,0,10,0,0,0,0,0,0
MSitAE-JUNE-2019,Y03571,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),CORBY URGENT CARE CENTRE,0,0,6285,0,0,1,0,0,0,0,0,0
MSitAE-JUNE-2019,C82010,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),OAKHAM MEDICAL PRACTICE,0,0,260,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,5,13
MSitAE-JUNE-2019,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7278,0,0,43,0,0,0,0,0,0
MSitAE-JUNE-2019,RWE,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,19646,1766,0,5482,61,0,1209,0,4717,16,0,3432
MSitAE-JUNE-2019,Y02816,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EASTBOURNE STATION HEALTH CENTRE,0,0,1430,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,RY9,NHS ENGLAND LONDON,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0,0,4301,0,0,1,0,0,0,0,0,0
MSitAE-JUNE-2019,Y02532,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1455,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,4594,0,0,11,0,0,0,0,0,0
MSitAE-JUNE-2019,Y03645,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,342,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y02533,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,283,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y03082,NHS ENGLAND LONDON,HAROLD WOOD WIC,0,0,3147,0,0,369,0,0,0,0,0,0
MSitAE-JUNE-2019,Y02676,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON STATION HEALTH CENTRE,0,0,1919,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y02973,NHS ENGLAND LONDON,KINGS PARK SURGERY,0,0,629,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,Y03051,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASTINGS MED P & WALKIN,0,0,1811,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,RW1,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,795,0,0,0,0,0,0,0,2,186
MSitAE-JUNE-2019,C82038,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LATHAM HOUSE MEDICAL PRACTICE,0,0,121,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,RY8,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,6296,0,0,2,0,0,0,0,0,0
MSitAE-JUNE-2019,RNU,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3204,0,0,193,0,0,0,0,0,0
MSitAE-JUNE-2019,NL7,NHS ENGLAND MIDLANDS (WEST MIDLANDS),ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,5364,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,R1J,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),GLOUCESTERSHIRE CARE SERVICES NHS TRUST,0,0,6300,0,0,30,0,0,0,0,0,18
MSitAE-JUNE-2019,REF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),ROYAL CORNWALL HOSPITALS NHS TRUST,6860,0,12328,2202,0,90,954,16,2538,0,28,1164
MSitAE-JUNE-2019,RY4,NHS ENGLAND EAST OF ENGLAND (EAST),HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1052,0,0,6,0,0,0,0,0,0
MSitAE-JUNE-2019,C82009,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,328,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,RJR,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6061,0,505,1198,0,3,469,0,1698,0,0,744
MSitAE-JUNE-2019,RD3,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),POOLE HOSPITAL NHS FOUNDATION TRUST,5275,0,1999,0,0,0,146,0,1665,0,0,1313
MSitAE-JUNE-2019,Y04538,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",BRACKNELL URGENT CARE CENTRE WIC,0,0,3741,0,0,0,0,0,0,0,0,0
MSitAE-JUNE-2019,NTP11,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHAMPTON NHS TREATMENT CENTRE,0,0,4510,0,0,36,0,0,0,0,0,0
MSitAE-JUNE-2019,RTE,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13072,0,0,1725,0,0,507,0,3647,0,0,844
MSitAE-JUNE-2019,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,8314,0,0,110,0,0,0,0,16,0,203
MSitAE-JUNE-2019,RLQ,NHS ENGLAND MIDLANDS (WEST MIDLANDS),WYE VALLEY NHS TRUST,5526,0,373,1253,0,0,208,1,1470,0,0,204
MSitAE-JUNE-2019,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1742,0,0,19,0,0,0,0,0,0
