Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-MAY-2019,RY4,NHS ENGLAND EAST OF ENGLAND (EAST),HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,1009,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,Y02428,NHS ENGLAND EAST OF ENGLAND (EAST),PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,1848,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3639,0,0,9,0,0,0,0,0,0
MSitAE-MAY-2019,RTP,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",SURREY AND SUSSEX HEALTHCARE NHS TRUST,8778,0,723,441,0,0,196,0,2660,0,0,720
MSitAE-MAY-2019,C82009,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,340,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,3645,0,0,2,0,0,0,0,0,0
MSitAE-MAY-2019,RLQ,NHS ENGLAND MIDLANDS (WEST MIDLANDS),WYE VALLEY NHS TRUST,5605,0,404,885,0,0,135,0,1545,0,0,188
MSitAE-MAY-2019,RA4,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5014,0,0,172,0,0,2,0,1519,0,0,517
MSitAE-MAY-2019,NR3,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5079,0,0,60,0,0,0,0,0,0
MSitAE-MAY-2019,Y02533,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,285,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,RVY,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7338,0,3025,1471,0,39,520,12,2450,0,0,62
MSitAE-MAY-2019,Y03645,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,396,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,7038,0,0,31,0,0,0,0,0,0
MSitAE-MAY-2019,REF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),ROYAL CORNWALL HOSPITALS NHS TRUST,7134,0,12566,2206,0,104,922,0,2709,0,31,1117
MSitAE-MAY-2019,RY9,NHS ENGLAND LONDON,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0,0,4151,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,NQT5H,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),PAULTON MEMORIAL HOSPITAL,0,0,745,0,0,3,0,0,0,0,0,0
MSitAE-MAY-2019,Y02696,NHS ENGLAND LONDON,EDMONTON GP WALK IN CENTRE,0,0,1346,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,NQT5F,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),SKELMERSDALE WALK IN CENTRE,0,0,1984,0,0,71,0,0,0,0,0,0
MSitAE-MAY-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,8,13
MSitAE-MAY-2019,L83087,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),OKEHAMPTON MEDICAL CENTRE,0,0,158,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,NDJ,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1609,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,NJS05,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,4945,0,0,13,0,0,0,0,0,0
MSitAE-MAY-2019,AAH,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),TETBURY HOSPITAL TRUST LTD,0,0,200,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,DT301,NHS ENGLAND EAST OF ENGLAND (EAST),HERTS URGENT CARE (ASCOTS LANE),0,0,2081,0,0,1,0,0,0,0,0,0
MSitAE-MAY-2019,Y02532,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1639,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,C82010,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),OAKHAM MEDICAL PRACTICE,0,0,237,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,Y02961,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,3115,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,RNU,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",OXFORD HEALTH NHS FOUNDATION TRUST,0,0,3061,0,0,170,0,0,0,0,0,0
MSitAE-MAY-2019,C82038,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LATHAM HOUSE MEDICAL PRACTICE,0,0,210,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,14299,2201,3872,2366,61,30,225,0,4299,26,0,829
MSitAE-MAY-2019,RXK,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,14128,1335,3078,3195,18,0,539,0,3590,31,0,624
MSitAE-MAY-2019,Y01231,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),DR LOCAL CARE DIRECT OOH,0,0,2910,0,0,14,0,0,0,0,0,0
MSitAE-MAY-2019,Y00751,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",EAST BERKS PRIMARY CARE OOH(WAM),0,0,4338,0,0,14,0,0,0,0,0,0
MSitAE-MAY-2019,RT3,NHS ENGLAND LONDON,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,345
MSitAE-MAY-2019,RJR,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6041,0,643,836,0,3,403,1,1750,0,0,825
MSitAE-MAY-2019,Y01069,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),DR LOCAL CARE DIRECT OOH,0,0,3241,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,NL7,NHS ENGLAND MIDLANDS (WEST MIDLANDS),ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,5682,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,RXH,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,14145,1290,0,2725,15,0,823,0,3512,27,0,495
MSitAE-MAY-2019,Y03094,NHS ENGLAND LONDON,THE JUNCTION HC - UNREGISTERED PATIENTS,0,0,3409,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),PARK COMMUNITY PRACTICE,0,0,792,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,4504,0,0,0,0,0,0,0,0,0
MSitAE-MAY-2019,RHU,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",PORTSMOUTH HOSPITALS NHS TRUST,10520,848,2125,0,0,0,1206,0,3460,0,0,1576
MSitAE-MAY-2019,R1D,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2589,0,0,4,0,0,0,0,0,19
MSitAE-MAY-2019,Y03082,NHS ENGLAND LONDON,HAROLD WOOD WIC,0,0,3339,0,0,151,0,0,0,0,0,0
