Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-NOVEMBER-2019,DD401,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),EXMOUTH MINOR INJURY UNIT,0,0,1020,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,9,7
MSitAE-NOVEMBER-2019,NTP11,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHAMPTON NHS TREATMENT CENTRE,0,0,4977,0,0,29,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,4409,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,NR3,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5126,0,0,8,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,NMH01,NHS ENGLAND EAST OF ENGLAND (EAST),NORWICH PRACTICES LTD,0,0,5197,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,RXH,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,13964,1206,0,3764,26,0,1287,13,3674,16,0,511
MSitAE-NOVEMBER-2019,C82009,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,421,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,NLX24,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),YATE WEST GATE CENTRE,0,0,2113,0,0,5,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6132,0,0,18,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,Y02676,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON STATION HEALTH CENTRE,0,0,1816,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),THE ROTHERHAM NHS FOUNDATION TRUST,8654,0,0,0,0,0,594,0,1552,0,0,216
MSitAE-NOVEMBER-2019,Y03645,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,404,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,R1D,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),SHROPSHIRE COMMUNITY HEALTH NHS TRUST,0,0,2306,0,0,2,0,0,0,0,0,14
MSitAE-NOVEMBER-2019,Y02533,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,330,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,NDJ,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1390,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,M85813,NHS ENGLAND MIDLANDS (WEST MIDLANDS),BIRMINGHAM WIC,0,0,3556,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,RY7,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4599,0,0,34,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,RA4,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4723,0,0,245,0,0,4,0,1501,0,0,534
MSitAE-NOVEMBER-2019,Y02532,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1661,0,0,0,0,0,0,0,0,0
MSitAE-NOVEMBER-2019,RBZ,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),NORTHERN DEVON HEALTHCARE NHS TRUST,3822,0,911,812,0,0,206,0,1146,0,0,591
MSitAE-NOVEMBER-2019,DT301,NHS ENGLAND EAST OF ENGLAND (EAST),HERTS URGENT CARE (ASCOTS LANE),0,0,1812,0,0,1,0,0,0,0,0,0
