Period,Org Code,Parent Org,Org name,Number of A&E attendances Type 1,Number of A&E attendances Type 2,Number of A&E attendances Other A&E Department,Number of attendances over 4hrs Type 1,Number of attendances over 4hrs Type 2,Number of attendances over 4hrs Other A&E Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-OCTOBER-2019,RY8,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,7070,0,0,4,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NR3,NHS ENGLAND MIDLANDS (NORTH MIDLANDS),NOTTINGHAM CITYCARE PARTNERSHIP,0,0,5379,0,0,14,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NDJ,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",FIRST COMMUNITY HEALTH AND CARE CIC,0,0,1399,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RW1,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",SOUTHERN HEALTH NHS FOUNDATION TRUST,0,0,819,0,0,0,0,0,0,0,4,200
MSitAE-OCTOBER-2019,NLO01,NHS ENGLAND NORTH EAST AND YORKSHIRE (CUMBRIA AND NORTH EAST),NORTHERN DOCTORS URGENT CARE,0,0,1728,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y02696,NHS ENGLAND LONDON,EDMONTON GP WALK IN CENTRE,0,0,1072,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,REF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),ROYAL CORNWALL HOSPITALS NHS TRUST,6383,0,10572,2152,0,47,1020,59,2306,0,46,1363
MSitAE-OCTOBER-2019,Y02615,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SOUTH BIRMINGHAM GP WALK IN CENTRE,0,0,6220,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,C82009,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),MARKET HARBOROUGH MED.CTR,0,0,369,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NTV0B,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",ASHFORD WALK-IN-CENTRE,0,0,3311,0,0,3,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y03645,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MORETON HEALTH MINOR INJURY,0,0,462,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,C82010,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),OAKHAM MEDICAL PRACTICE,0,0,298,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NQT5F,NHS ENGLAND NORTH WEST (LANCASHIRE AND SOUTH CUMBRIA),SKELMERSDALE WALK IN CENTRE,0,0,1994,0,0,55,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NJS05,NHS ENGLAND MIDLANDS (CENTRAL MIDLANDS),LOUGHBOROUGH URGENT CARE CENTRE,0,0,4864,0,0,124,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RBQ,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,165
MSitAE-OCTOBER-2019,RBZ,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),NORTHERN DEVON HEALTHCARE NHS TRUST,3975,0,976,687,0,0,171,0,1144,0,0,562
MSitAE-OCTOBER-2019,NTV0W,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WOKING WALK IN CENTRE,0,0,3302,0,0,6,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NL7,NHS ENGLAND MIDLANDS (WEST MIDLANDS),ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,5983,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y02533,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),PARKFIELD (H) MINOR EMERGENCY,0,0,360,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,M85813,NHS ENGLAND MIDLANDS (WEST MIDLANDS),BIRMINGHAM WIC,0,0,3547,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NQT5H,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),PAULTON MEMORIAL HOSPITAL,0,0,675,0,0,4,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y00751,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",EAST BERKS PRIMARY CARE OOH(WAM),0,0,4654,0,0,14,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y02532,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),MIRIAM MINOR EMERGENCY,0,0,1775,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RY7,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0,0,4715,0,0,22,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),PARK COMMUNITY PRACTICE,0,0,721,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,DD401,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),EXMOUTH MINOR INJURY UNIT,0,0,1137,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RYY,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,0,0,6273,0,0,11,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y02961,NHS ENGLAND MIDLANDS (WEST MIDLANDS),SUMMERFIELD GP SURG & URGENT CARE CENTRE,0,0,3732,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y02816,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",EASTBOURNE STATION HEALTH CENTRE,0,0,1687,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y03051,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",HASTINGS MED P & WALKIN,0,0,1766,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RA4,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5117,0,0,389,0,0,6,0,1640,0,0,569
MSitAE-OCTOBER-2019,Y01069,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),DR LOCAL CARE DIRECT OOH,0,0,3197,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y01231,NHS ENGLAND NORTH EAST AND YORKSHIRE (YORKSHIRE AND HUMBER),DR LOCAL CARE DIRECT OOH,0,0,2817,0,0,17,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RLQ,NHS ENGLAND MIDLANDS (WEST MIDLANDS),WYE VALLEY NHS TRUST,5594,0,334,1656,0,0,193,1,1672,0,0,190
MSitAE-OCTOBER-2019,L83087,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),OKEHAMPTON MEDICAL CENTRE,0,0,156,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RVY,NHS ENGLAND NORTH WEST (CHESHIRE AND MERSEYSIDE),SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,7545,0,3055,1532,0,40,543,27,2761,0,0,75
MSitAE-OCTOBER-2019,RXH,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,14109,1287,0,3308,23,0,1198,3,4288,15,0,511
MSitAE-OCTOBER-2019,RDY,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,3,16
MSitAE-OCTOBER-2019,RYF,NHS ENGLAND SOUTH WEST (SOUTH WEST SOUTH),SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,0,0,1814,0,0,15,0,0,0,0,0,0
MSitAE-OCTOBER-2019,NLX24,NHS ENGLAND SOUTH WEST (SOUTH WEST NORTH),YATE WEST GATE CENTRE,0,0,2281,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y04538,"NHS ENGLAND SOUTH EAST (HAMPSHIRE, ISLE OF WIGHT AND THAMES VALLEY)",BRACKNELL URGENT CARE CENTRE WIC,0,0,3519,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,RLT,NHS ENGLAND MIDLANDS (WEST MIDLANDS),GEORGE ELIOT HOSPITAL NHS TRUST,7503,0,0,1824,0,0,597,0,1252,0,0,60
MSitAE-OCTOBER-2019,Y03094,NHS ENGLAND LONDON,THE JUNCTION HC - UNREGISTERED PATIENTS,0,0,3111,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,Y02428,NHS ENGLAND EAST OF ENGLAND (EAST),PUTNOE MEDICAL CENTRE WALK IN CENTRE,0,0,1711,0,0,0,0,0,0,0,0,0
MSitAE-OCTOBER-2019,G82071,"NHS ENGLAND SOUTH EAST (KENT, SURREY AND SUSSEX)",WHITSTABLE MEDICAL PRACTICE,0,0,3242,0,0,0,0,0,0,0,0,0
